"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","群组聊天功能","文字聊天","0","0","1","0","0"
"","创建学习群功能","","0","0","1","0","0"
"","","","0","0","28","0","0"
"","刷首页算法","","0","1","1","0","0"
"","消息页channel展示","Timing小书童channel","0","0","1","0","0"
"","群组聊天功能","图片聊天","0","0","1","0","0"
"","起床功能","起床操作","0","0","1","0","0"
"","聊天页功能","文字聊天","0","0","1","0","0"
"","聊天页功能","视频聊天","0","1","0","0","0"
"","修改个人资料功能，前提：非认证账号","选择昵称进行修改","0","0","1","0","0"
"","聊天页功能","聊天页面红点","0","0","1","0","0"
"","关注列表检查","","1","0","0","0","0"
"","视频打卡功能","视频打卡操作","0","0","1","0","0"
"","聊天页功能","图片聊天","0","0","1","0","0"
"","番茄计时功能","","0","0","1","0","0"
"","计时功能","学习计不足1min操作","0","1","0","0","0"
"","消息页channel展示","互动通知channel","0","0","1","0","0"
"","创建学习群功能","创建讨论组","0","0","1","0","0"
"","计时功能","学习计时达1min操作","0","0","1","0","0"
"","睡觉后起床功能","睡觉后再起床操作","0","0","1","0","0"
"","起床功能","","0","0","1","0","0"
"","修改个人资料功能，前提：非认证账号","修改性别信息","0","0","1","0","0"
"","修改个人资料功能，前提：非认证账号","修改头像信息","0","0","1","0","0"
"","群组聊天功能","视频聊天","0","0","1","0","0"
